"","country","year","gdp_growth","gdp_nominal","gdp_per_capita_nominal","gdp_ppp","gdp_per_capita_ppp","gdp_ppp_share","error"
"1","DZA",2012,2.4,227.144,6057.974,451.163,12032.628,0.462,NA
"2","DZA",2013,2.6,229.701,5997.896,470.758,12292.29,0.459,NA
"3","DZA",2014,4.1,238.943,6108.878,498.529,12745.527,0.462,NA
"4","DZA",2015,3.2,187.494,4691.686,519.064,12988.608,0.461,NA
"5","DZA",2016,3.9,180.764,4426.58,544.346,13330.04,0.465,NA
"6","DZA",2017,1.5,190.004,4554.15,562.537,13483.308,0.455,NA
"7","DZA",2018,1.4,194.507,4568.244,583.472,13703.603,0.443,NA
"8","DZA",2019,0.9,193.361,4452.856,601.471,13851.117,0.431,NA
"9","DZA",2020,-5,164.774,3757.585,558.3,12731.754,0.401,NA
"10","DZA",2021,3.8,185.884,4169.984,649.015,14559.497,0.418,NA
"11","DZA",2022,3.6,225.631,4981.822,720.43,15906.751,0.418,NA
"12","DZA",2023,4.1,240.064,5221.813,776.956,16900.136,0.422,NA
"13","DZA",2024,3.8,260.134,5579.128,826.136,17718.286,0.425,NA
"14","DZA",2025,3,264.27,5592.852,866.721,18342.736,0.424,NA
"15","DZA",2026,2.5,270.141,5645.511,904.9,18910.932,0.421,NA
"16","DZA",2027,2.1,275.081,5680.587,941.152,19435.323,0.417,NA
"17","DZA",2028,2.1,279.617,5705.771,978.759,19972.262,0.413,NA
"18","DZA",2029,2.1,284.352,5733.606,1017.851,20523.67,0.409,NA
"19","AGO",2012,8.5,143.573,5699.986,207.781,8249.101,0.213,NA
"20","AGO",2013,4.9,153.761,5880.641,221.629,8476.286,0.216,NA
"21","AGO",2014,4.7,164.448,6061.865,235.997,8699.296,0.219,NA
"22","AGO",2015,0.8,131.661,4680.829,239.998,8532.432,0.213,NA
"23","AGO",2016,-1.7,114.764,3936.361,238.16,8168.812,0.203,NA
"24","AGO",2017,-0.1,139.835,4628.964,242.085,8013.784,0.196,NA
"25","AGO",2018,-0.6,114.189,3651.304,259.089,8284.622,0.197,NA
"26","AGO",2019,-0.2,94.671,2926.143,277.552,8578.72,0.199,NA
"27","AGO",2020,-4,66.521,1989.939,261.836,7832.731,0.188,NA
"28","AGO",2021,2.1,84.375,2445.388,306.036,8869.641,0.197,NA
"29","AGO",2022,4.2,141.941,3974.666,341.69,9568.094,0.198,NA
"30","AGO",2023,1,109.678,2967.384,357.562,9673.949,0.194,NA
"31","AGO",2024,2.4,113.286,2961.34,374.937,9801.001,0.193,NA
"32","AGO",2025,2.8,118.409,2990.597,392.395,9910.508,0.192,NA
"33","AGO",2026,3.3,124.169,3030.019,412.748,10072.03,0.192,NA
"34","AGO",2027,3.3,133.22,3140.94,434.308,10239.754,0.192,NA
"35","AGO",2028,3.4,141.459,3222.419,457.135,10413.459,0.193,NA
"36","AGO",2029,3.4,150.679,3316.369,481.331,10593.855,0.194,NA
"37","BEN",2012,4.8,11.148,1113.274,25.553,2551.659,0.026,NA
