"ISO","Year","Nominal GDP"
"AFG",2012,"20,293"
"AFG",2013,"20,170"
"AFG",2014,"20,616"
"AFG",2015,"20,057"
"AFG",2016,"18,020"
"AFG",2017,"18,883"
"AFG",2018,"18,336"
"AFG",2019,"18,876"
"AFG",2020,"20,136"
"AFG",2021,"14,278"
"AFG",2022,"14,501"
"AFG",2023,"17,248"
"AFG",2024,"17,817"
"ALB",2012,"12,324"
"ALB",2013,"12,784"
"ALB",2014,"13,246"
"ALB",2015,"11,389"
"ALB",2016,"11,862"
"ALB",2017,"13,053"
"ALB",2018,"15,380"
"ALB",2019,"15,582"
"ALB",2020,"15,271"
"ALB",2021,"17,985"
"ALB",2022,"19,189"
"ALB",2023,"23,633"
"ALB",2024,"27,084"
"DZA",2012,"227,144"
"DZA",2013,"229,701"
"DZA",2014,"238,943"
"DZA",2015,"187,494"
"DZA",2016,"180,764"
"DZA",2017,"190,004"
"DZA",2018,"194,507"
"DZA",2019,"193,361"
"DZA",2020,"164,774"
"DZA",2021,"185,850"
"DZA",2022,"225,709"
"DZA",2023,"248,087"
"DZA",2024,"269,140"
"AND",2012,"3,189"
"AND",2013,"3,193"
"AND",2014,"3,267"
"AND",2015,"2,789"
"AND",2016,"2,895"
"AND",2017,"2,993"
"AND",2018,"3,217"
"AND",2019,"3,155"
"AND",2020,"2,885"
"AND",2021,"3,325"
"AND",2022,"3,376"
"AND",2023,"3,786"
"AND",2024,"4,042"
"AGO",2012,"143,573"
"AGO",2013,"153,761"
"AGO",2014,"164,448"
"AGO",2015,"131,661"
"AGO",2016,"116,473"
"AGO",2017,"141,911"
"AGO",2018,"115,456"
"AGO",2019,"95,210"
"AGO",2020,"66,136"
"AGO",2021,"83,022"
"AGO",2022,"139,171"
"AGO",2023,"113,135"
"AGO",2024,"119,574"
"ATG",2012,"1,365"
"ATG",2013,"1,325"
"ATG",2014,"1,379"
"ATG",2015,"1,437"
"ATG",2016,"1,490"
"ATG",2017,"1,535"
"ATG",2018,"1,662"
"ATG",2019,"1,726"
"ATG",2020,"1,412"
"ATG",2021,"1,602"
"ATG",2022,"1,857"
"ATG",2023,"2,054"
"ATG",2024,"2,162"
"ARG",2012,"579,666"
"ARG",2013,"611,471"
"ARG",2014,"563,614"
"ARG",2015,"642,464"
"ARG",2016,"556,774"
"ARG",2017,"643,861"
"ARG",2018,"524,431"
"ARG",2019,"446,762"
"ARG",2020,"385,218"
"ARG",2021,"486,040"
"ARG",2022,"633,520"
"ARG",2023,"648,895"
"ARG",2024,"637,234"
"ARM",2012,"10,619"
"ARM",2013,"11,121"
"ARM",2014,"11,610"
"ARM",2015,"10,553"
"ARM",2016,"10,546"
"ARM",2017,"11,527"
"ARM",2018,"12,458"
"ARM",2019,"13,619"
"ARM",2020,"12,642"
"ARM",2021,"13,879"
"ARM",2022,"19,514"
"ARM",2023,"24,186"
"ARM",2024,"25,955"
"ABW",2012,"2,615"
"ABW",2013,"2,728"
"ABW",2014,"2,791"
"ABW",2015,"2,963"
"ABW",2016,"2,984"
